epoch,pl_e,pl_n,pl_u,seconds from start,minutes from start
1203968538,4.794079487,4.742866274,7.361236926,258,4.30
1203968539,4.78669174,4.735411862,7.348857711,259,4.32
1203968540,4.779320575,4.727972482,7.336525967,260,4.33
1203968541,4.771966686,4.720545619,7.324240312,261,4.35
1203968542,4.764631114,4.713130641,7.311999175,262,4.37
1203968543,4.757941948,4.705994168,7.302033204,263,4.38
1203968544,4.750891468,4.69812879,7.29038491,264,4.40
1203968545,4.777392872,4.682917423,7.342677326,265,4.42
1203968546,4.76567385,4.67531183,7.33081598,266,4.43
1203968547,4.751324491,4.667765262,7.318177025,267,4.45
1203968548,4.740229333,4.660438977,7.307494504,268,4.47
1203968549,4.728335396,4.652791214,7.293250139,269,4.48
1203968550,4.717097528,4.645592772,7.280616073,270,4.50
1203968551,4.713284936,4.646115738,7.206213794,271,4.52
1203968552,4.698991748,4.638700799,7.191685297,272,4.53
1203968553,4.68795629,4.63201994,7.179300673,273,4.55
1203968554,4.676550766,4.623634167,7.166740982,274,4.57
1203968555,4.662983907,4.616895747,7.15360155,275,4.58
1203968556,4.64961707,4.609765231,7.139537693,276,4.60
1203968557,4.638899597,4.602609878,7.126269584,277,4.62
1203968558,4.628331607,4.595716507,7.113192206,278,4.63
1203968559,4.617867172,4.588834246,7.100163638,279,4.65
1203968560,4.607451049,4.581463238,7.086971321,280,4.67
1203968561,4.597119285,4.574611959,7.073904025,281,4.68
1203968562,4.586904112,4.567506411,7.060908136,282,4.70
1203968563,4.576783203,4.560790371,7.047934393,283,4.72
1203968564,4.566778107,4.553435498,7.034951017,284,4.73
1203968565,4.55418825,4.546193798,7.021249611,285,4.75
1203968566,4.54438232,4.539704565,7.008403128,286,4.77
1203968567,4.534708082,4.532053248,6.995619666,287,4.78
1203968568,4.525143397,4.525702531,6.983044426,288,4.80
1203968569,4.515723294,4.518064578,6.970764444,289,4.82
1203968570,4.503385498,4.508747975,6.95633678,290,4.83
1203968571,4.48945716,4.499530501,6.943060758,291,4.85
1203968572,4.476987402,4.491267842,6.930800195,292,4.87
1203968573,4.469199577,4.483415463,6.919428013,293,4.88
1203968574,4.462489044,4.475779839,6.909431864,294,4.90
1203968575,4.448896925,4.467206407,6.896399965,295,4.92
1203968576,4.439464958,4.460795456,6.88611064,296,4.93
1203968577,4.430049993,4.45335977,6.874945334,297,4.95
1203968578,4.42197165,4.446909178,6.864696326,298,4.97
1203968579,4.413632156,4.440358831,6.853704531,299,4.98
1203968580,4.40536527,4.433811411,6.842826654,300,5.00
1203968581,4.39715475,4.427159255,6.832013808,301,5.02
1203968582,4.389311908,4.420550456,6.821758996,302,5.03
1203968583,4.384649506,4.414488479,6.813165733,303,5.05
1203968584,4.376846838,4.40812809,6.803234804,304,5.07
1203968585,4.369252565,4.401870011,6.793983653,305,5.08
1203968586,4.36267271,4.395883268,6.785200969,306,5.10
1203968587,4.355248701,4.389645714,6.776025956,307,5.12
1203968588,4.347688411,4.383287441,6.766052193,308,5.13
1203968589,4.340287827,4.376966799,6.756942674,309,5.15
1203968590,4.333105144,4.370704623,6.747870939,310,5.17
1203968591,4.325959528,4.364470726,6.738835585,311,5.18
1203968592,4.318843603,4.3582642,6.729810452,312,5.20
1203968593,4.311534749,4.352101175,6.720067134,313,5.22
1203968594,4.304296718,4.346018047,6.710538366,314,5.23
1203968595,4.297060157,4.339945229,6.700865275,315,5.25
1203968596,4.289836088,4.333888016,6.691113545,316,5.27
1203968597,4.28263605,4.327860891,6.681382348,317,5.28
1203968598,4.275567877,4.322082653,6.67234486,318,5.30
1203968599,4.268670035,4.316419801,6.663604054,319,5.32
1203968600,4.261899886,4.310749501,6.655062341,320,5.33
1203968601,4.25581233,4.304874754,6.64786481,321,5.35
1203968602,4.249320749,4.299021187,6.64007711,322,5.37
1203968603,4.241183219,4.292042831,6.631336885,323,5.38
1203968604,4.234339538,4.285718278,6.621908286,324,5.40
1203968605,4.228586872,4.277540765,6.614440455,325,5.42
1203968606,4.221305306,4.269070237,6.60500996,326,5.43
1203968607,4.214194901,4.260688427,6.595465893,327,5.45
1203968608,4.207292422,4.25214061,6.585858608,328,5.47
1203968609,4.199265782,4.244362423,6.576487018,329,5.48
1203968610,4.190391499,4.236326832,6.566543696,330,5.50
1203968611,4.181536336,4.228043597,6.55584398,331,5.52
1203968612,4.174111642,4.22051097,6.547061532,332,5.53
1203968613,4.166605725,4.213863136,6.537879441,333,5.55
1203968614,4.159122331,4.206743043,6.52851445,334,5.57
1203968615,4.151702801,4.199660708,6.519085032,335,5.58
1203968616,4.144352674,4.192683512,6.509658802,336,5.60
1203968617,4.137064276,4.185763289,6.500205958,337,5.62
1203968618,4.129832046,4.178883007,6.490706826,338,5.63
1203968619,4.122680007,4.172637073,6.481284838,339,5.65
1203968620,4.115570756,4.166134184,6.471815318,340,5.67
1203968621,4.108509053,4.15968765,6.462307032,341,5.68
1203968622,4.10149333,4.15329571,6.452765734,342,5.70
1203968623,4.094522263,4.14695584,6.443193607,343,5.72
1203968624,4.087594465,4.140665726,6.433591315,344,5.73
1203968625,4.080709559,4.134423303,6.42396325,345,5.75
1203968626,4.074752178,4.128512485,6.414559036,346,5.77
1203968627,4.068095076,4.122337809,6.40518099,347,5.78
1203968628,4.061374683,4.116181461,6.395822114,348,5.80
1203968629,4.055209271,4.110357191,6.386488726,349,5.82
1203968630,4.04896301,4.104540429,6.377174288,350,5.83
1203968631,4.043061742,4.098925621,6.369193348,351,5.85
1203968632,4.036872771,4.093063411,6.35978811,352,5.87
1203968633,4.030721192,4.087333839,6.350420806,353,5.88
1203968634,4.024599726,4.081648436,6.341142763,354,5.90
1203968635,4.018505626,4.075997822,6.331909226,355,5.92
1203968636,4.012439258,4.070380004,6.322708207,356,5.93
1203968637,4.006399923,4.064793937,6.31353322,357,5.95
1203968638,4.000388789,4.059238999,6.304385259,358,5.97
1203968639,3.994561625,4.053671207,6.295792491,359,5.98
1203968640,3.988752945,4.048134399,6.287153101,360,6.00
1203968641,3.982971198,4.042627124,6.278541406,361,6.02
1203968642,3.977215882,4.037148924,6.269955271,362,6.03
1203968643,3.97028924,4.030941773,6.260861546,363,6.05
1203968644,3.96444274,4.0255615,6.251837351,364,6.07
1203968645,3.956734342,4.020148961,6.242367268,365,6.08
1203968646,3.950024164,4.014138571,6.233443277,366,6.10
1203968647,3.943335782,4.008194483,6.224561721,367,6.12
1203968648,3.936788166,4.002353221,6.21571552,368,6.13
1203968649,3.928447526,3.996291051,6.206252725,369,6.15
1203968650,3.920328764,3.990260282,6.196823563,370,6.17
1203968651,3.914202175,3.984571137,6.188604871,371,6.18
1203968652,3.906990017,3.978124708,6.178549786,372,6.20
1203968653,3.899878178,3.971806477,6.168545784,373,6.22
1203968654,3.893822881,3.966052478,6.159709619,374,6.23
1203968655,3.887826358,3.960330676,6.150967657,375,6.25
1203968656,3.881865963,3.954619073,6.142146996,376,6.27
1203968657,3.875940386,3.948918081,6.133190535,377,6.28
1203968658,3.868265856,3.943179698,6.123777625,378,6.30
1203968659,3.860726726,3.938300307,6.11465786,379,6.32
1203968660,3.853224848,3.932971831,6.105433494,380,6.33
1203968661,3.847530218,3.927807237,6.096861316,381,6.35
1203968662,3.841869859,3.922389301,6.088185964,382,6.37
1203968663,3.836237976,3.917108458,6.079559685,383,6.38
1203968664,3.830646937,3.911835256,6.07100899,384,6.40
1203968665,3.825070991,3.906580014,6.062334644,385,6.42
1203968666,3.819556065,3.901474973,6.054264471,386,6.43
1203968667,3.814131993,3.896341032,6.145667746,387,6.45
1203968668,3.808798035,3.891243721,6.137452627,388,6.47
1203968669,3.803409233,3.886108527,6.129027576,389,6.48
1203968670,3.796451147,3.880919242,6.120314163,390,6.50
1203968671,3.791227336,3.876741677,6.112235552,391,6.52
1203968672,3.785942056,3.871900204,6.104059518,392,6.53
1203968673,3.780748175,3.86704935,6.095979707,393,6.55
1203968674,3.775552965,3.862548459,6.087932054,394,6.57
1203968675,3.77099071,3.857995484,6.080304687,395,6.58
1203968676,3.765923135,3.853357904,6.072565976,396,6.60
1203968677,3.760873313,3.848630249,6.064858923,397,6.62
1203968678,3.755887665,3.844066635,6.057298173,398,6.63
1203968679,3.749242247,3.839447468,6.049286736,399,6.65
1203968680,3.744324222,3.834939066,6.04182606,400,6.67
1203968681,3.739391218,3.830432501,6.034410298,401,6.68
1203968682,3.734461394,3.825926102,6.02698938,402,6.70
1203968683,3.729888853,3.821314031,6.018987604,403,6.72
1203968684,3.724953596,3.816661252,6.011240055,404,6.73
1203968685,3.720063533,3.812047589,6.003555175,405,6.75
1203968686,3.715194961,3.807466401,5.995930282,406,6.77
1203968687,3.710331036,3.802935792,5.988298744,407,6.78
1203968688,3.705498568,3.79841853,5.980598548,408,6.80
1203968689,3.700995533,3.793853224,5.973244752,409,6.82
1203968690,3.696218038,3.789434886,5.965590539,410,6.83
1203968691,3.691400197,3.784712163,5.958012756,411,6.85
1203968692,3.686645129,3.780075613,5.950525037,412,6.87
1203968693,3.681861469,3.775374565,5.943110471,413,6.88
1203968694,3.677180121,3.771093353,5.935655474,414,6.90
1203968695,3.672821814,3.766750132,5.928311029,415,6.92
1203968696,3.668103257,3.761746444,5.920894426,416,6.93
1203968697,3.66344277,3.757117596,5.913521147,417,6.95
1203968698,3.65881018,3.753125891,5.90629512,418,6.97
1203968699,3.654294018,3.74883276,5.899332055,419,6.98
1203968700,3.649730101,3.744536589,5.892143956,420,7.00
1203968701,3.645171782,3.740247787,5.884967219,421,7.02
1203968702,3.640619875,3.735986417,5.877781121,422,7.03
1203968703,3.634596256,3.731833911,5.870648632,423,7.05
1203968704,3.630147146,3.727738765,5.863873076,424,7.07
1203968705,3.624771829,3.722786794,5.855629434,425,7.08
1203968706,3.617910902,3.717803991,5.846990414,426,7.10
1203968707,3.611141254,3.71272216,5.838052309,427,7.12
1203968708,3.60440682,3.707662379,5.829232652,428,7.13
1203968709,3.597908892,3.702807276,5.821032759,429,7.15
1203968710,3.591414784,3.697942073,5.812635003,430,7.17
1203968711,3.58494593,3.693069189,5.80412871,431,7.18
1203968712,3.57854777,3.688205701,5.795699282,432,7.20
1203968713,3.57227088,3.683483102,5.787720348,433,7.22
1203968714,3.566033706,3.678752577,5.779655687,434,7.23
1203968715,3.55984542,3.674026153,5.771590301,435,7.25
1203968716,3.547876507,3.66327054,5.753567556,436,7.27
1203968717,3.541790727,3.658565188,5.745509732,437,7.28
1203968718,3.535692466,3.653690544,5.737080513,438,7.30
1203968719,3.529640826,3.648877088,5.728648103,439,7.32
1203968720,3.523634099,3.644082574,5.720248881,440,7.33
1203968721,3.517668785,3.639304083,5.711859074,441,7.35
